#FileName#ViewAccessor#Excel#Reason
fusionapps/prc/components/procurement/po/setup/protectedUiModel/src/oracle/apps/prc/po/setup/protectedUiModel/buyerAssignmentRules/view/BuyerAssignmentRulesUiVO.xml#AllSupplierVVO#prc/components/procurement/po/setup/ui/public_html/oracle/apps/prc/po/setup/ui/buyerAssignmentRulesDI/di/ManageBuyerAssignmentRules.xlsx#Bug NO.19076516
fusionapps/prc/components/procurement/po/setup/protectedUiModel/src/oracle/apps/prc/po/setup/protectedUiModel/buyerAssignmentRules/view/BuyerAssignmentRulesUiVO.xml#AllBuyerVVOQueryPanel#prc/components/procurement/po/setup/ui/public_html/oracle/apps/prc/po/setup/ui/buyerAssignmentRulesDI/di/ManageBuyerAssignmentRules.xlsx#Bug NO.19076516
fusionapps/prc/components/procurement/po/setup/protectedUiModel/src/oracle/apps/prc/po/setup/protectedUiModel/buyerAssignmentRules/view/BuyerAssignmentRulesUiVO.xml#BuyerAssignmentRuleSetsVVO#prc/components/procurement/po/setup/ui/public_html/oracle/apps/prc/po/setup/ui/buyerAssignmentRulesDI/di/ManageBuyerAssignmentRules.xlsx#Bug NO.19076516
fusionapps/prc/components/procurement/po/setup/protectedUiModel/src/oracle/apps/prc/po/setup/protectedUiModel/buyerAssignmentRules/view/BuyerAssignmentRulesUiVO.xml#ProcurementBUPVO#prc/components/procurement/po/setup/ui/public_html/oracle/apps/prc/po/setup/ui/buyerAssignmentRulesDI/di/ManageBuyerAssignmentRules.xlsx#Bug NO.19076516
fusionapps/prc/components/procurement/po/setup/protectedUiModel/src/oracle/apps/prc/po/setup/protectedUiModel/buyerAssignmentRules/view/BuyerAssignmentRulesUiVO.xml#ProcurementBUPVOActiveOnly#prc/components/procurement/po/setup/ui/public_html/oracle/apps/prc/po/setup/ui/buyerAssignmentRulesDI/di/ManageBuyerAssignmentRules.xlsx#Bug NO.19076516
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#CatalogListVVO1#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#ReturnChargeDefinitionDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#ReturnPriceListTypeDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#PriceListLineTypeDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#PriceListTypeDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#ReturnCalculationMethodDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#PricingUomVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#ProductGroupsVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#TieredPricingVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#PricePeriodicityUomVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#CurrencyDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#LineTypesDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#PriceTypeDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#ApprovalDisplayStatusVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#PriceListDisplayTypeVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#ChargeTypeDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#ChargeSubtypeDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#ChargeDefinitionDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#CalculationMethodDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#CurrencyPVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#PriceListChargeVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#BusinessUnitDisplayVVO1#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListHeaderVO.xml#ReturnLineTypesDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListChargeVO.xml#PriceTypesDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListChargeVO.xml#ChargeTypesDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListChargeVO.xml#ChargeSubtypesDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListChargeVO.xml#CalculationTypesDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListChargeVO.xml#CalculationMethodsDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListChargeVO.xml#ChargeDefinitionDisplayVVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/scm/components/pricing/pricingAdmin/priceLists/uiModel/src/oracle/apps/scm/pricing/pricingAdmin/priceLists/uiModel/view/PriceListChargeVO.xml#CanAdjustFlagDisplayVO#PriceListSearchPublished.xlsx#Bug NO.19211014
fusionapps/hcm/components/hcmBenefits/planDesigns/plans/uiModel/src/oracle/apps/hcm/planDesigns/plans/uiModel/view/PlanSetupVO.xml#PlanTypeVA#PlanExcel_Published.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/planDesigns/plans/uiModel/src/oracle/apps/hcm/planDesigns/plans/uiModel/view/PlanSetupVO.xml#EnrollmentCycleTypeCodeVA#PlanExcel_Published.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/planDesigns/plans/uiModel/src/oracle/apps/hcm/planDesigns/plans/uiModel/view/PlanSetupVO.xml#StatusVA#PlanExcel_Published.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/planDesigns/plans/uiModel/src/oracle/apps/hcm/planDesigns/plans/uiModel/view/PlanSetupVO.xml#PlanUsageVA#PlanExcel_Published.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/planDesigns/plans/uiModel/src/oracle/apps/hcm/planDesigns/plans/uiModel/view/PlanSetupVO.xml#PlanUsageListVA#PlanExcel_Published.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/planDesigns/plans/uiModel/src/oracle/apps/hcm/planDesigns/plans/uiModel/view/PlanSetupVO.xml#StatusListVA#PlanExcel_Published.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/planDesigns/plans/uiModel/src/oracle/apps/hcm/planDesigns/plans/uiModel/view/PlanSetupVO.xml#PlanTypeLIstVA#PlanExcel_Published.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/planDesigns/plans/uiModel/src/oracle/apps/hcm/planDesigns/plans/uiModel/view/PlanSetupVO.xml#HcmCommonSharedAM_BenFlexShllPlnMode1#PlanExcel_Published.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/planDesigns/plans/uiModel/src/oracle/apps/hcm/planDesigns/plans/uiModel/view/ProgramSetupVO.xml#StatusVA#UploadPrograms.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/planDesigns/plans/uiModel/src/oracle/apps/hcm/planDesigns/plans/uiModel/view/ProgramSetupVO.xml#ProgramTypeVA#UploadPrograms.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/planDesigns/plans/uiModel/src/oracle/apps/hcm/planDesigns/plans/uiModel/view/ProgramSetupVO.xml#CurrencyVA#UploadPrograms.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/planDesigns/plans/uiModel/src/oracle/apps/hcm/planDesigns/plans/uiModel/view/ProgramSetupVO.xml#EnrollmentCycleTypeCodeVA#UploadPrograms.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/planDesigns/plans/uiModel/src/oracle/apps/hcm/planDesigns/plans/uiModel/view/ProgramSetupVO.xml#StatusListVA#UploadPrograms.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/benefits/core/protectedUiModel/src/oracle/apps/hcm/benefits/core/protectedUiModel/view/PersonHabitsVO.xml#HcmCommonSharedAM_TobaccoUser1#BenefitsPersonHabitsExcelUpload.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/benefits/core/protectedUiModel/src/oracle/apps/hcm/benefits/core/protectedUiModel/view/PersonHabitsVO.xml#HcmCommonSharedAM_BenStudentStatus1#BenefitsPersonHabitsExcelUpload.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/benefits/core/protectedUiModel/src/oracle/apps/hcm/benefits/core/protectedUiModel/view/PersonHabitsVO.xml#HcmCommonSharedAM_PerDisabilityStatus1#BenefitsPersonHabitsExcelUpload.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/benefits/core/protectedUiModel/src/oracle/apps/hcm/benefits/core/protectedUiModel/view/PersonHabitsVO.xml#HcmCommonSharedAM_RegisteredDisabled1#BenefitsPersonHabitsExcelUpload.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/benefits/core/protectedUiModel/src/oracle/apps/hcm/benefits/core/protectedUiModel/view/PersonHabitsVO.xml#LegalEmployerPVO1#BenefitsPersonHabitsExcelUpload.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/benefits/core/protectedUiModel/src/oracle/apps/hcm/benefits/core/protectedUiModel/view/PersonHabitsVO.xml#HcmCommonSharedAM_YesNo1#BenefitsPersonHabitsExcelUpload.xlsx#Bug NO.19425704
fusionapps/hcm/components/hcmBenefits/benefits/core/protectedUiModel/src/oracle/apps/hcm/benefits/core/protectedUiModel/view/PersonHabitsVO.xml#HcmCommonSharedAM_PerSystemPersonType1#BenefitsPersonHabitsExcelUpload.xlsx#Bug NO.19425704
